admission_type_id,description,,,,,,,,,,,,
1,Emergency,,,,,,,,,,,,
2,Urgent,,,,,,"1,2,7",,,,,,
3,Elective,,,,,,"3,4,",,,,,,
4,Newborn,,,,,,"5,6,8",,,,,,
5,Not Available,,,,,,,,,,,,
6,NULL,,,,,,,,,,,,
7,Trauma Center,,,,,,,,,,,,
8,Not Mapped,,,,,,,,,,,,
,,,,,,,,,,,,,
discharge_disposition_id,description,,,,,,,,,,,,
1,Discharged to home,,,,,,,,,,,,
2,Discharged/transferred to another short term hospital,,,,,,,,,,,,
3,Discharged/transferred to SNF,,,,,,,,,,,,
4,Discharged/transferred to ICF,,,,,,,,,,,,
5,Discharged/transferred to another type of inpatient care institution,,,,,,,,,,,,
6,Discharged/transferred to home with home health service,,,,,,,,,,,,
7,Left AMA,,,,,,,,,,,,
8,Discharged/transferred to home under care of Home IV provider,,,,,,,,,,1,,
9,Admitted as an inpatient to this hospital,,,,,,,,,,"2,3,4,5,10,15,16,17,22,23,24,30,27,28,29",,
10,Neonate discharged to another hospital for neonatal aftercare,,,,,,,,,,"6,8",,
11,Expired,,,,,,,,,,7,,"11,13,14,19,20,21"
12,Still patient or expected to return for outpatient services,,,,,,,,,,"9,12,",,
13,Hospice / home,,,,,,,,,,,,"18,25,26,"
14,Hospice / medical facility,,,,,,,,,,,,
15,Discharged/transferred within this institution to Medicare approved swing bed,,,,,,,,,,,,
16,Discharged/transferred/referred another institution for outpatient services,,,,,,,,,,,,
17,Discharged/transferred/referred to this institution for outpatient services,,,,,,,,,,,,
18,NULL,,,,,,,,,,,,
19,"Expired at home. Medicaid only, hospice.",,,,,,,,,,,,
20,"Expired in a medical facility. Medicaid only, hospice.",,,,,,,,,,,,
21,"Expired, place unknown. Medicaid only, hospice.",,,,,,,,,,,,
22,Discharged/transferred to another rehab fac including rehab units of a hospital .,,,,,,,,,,,,
23,Discharged/transferred to a long term care hospital.,,,,,,,,,,,,
24,Discharged/transferred to a nursing facility certified under Medicaid but not certified under Medicare.,,,,,,,,,,,,
25,Not Mapped,,,,,,,,,,,,
26,Unknown/Invalid,,,,,,,,,,,,
30,Discharged/transferred to another Type of Health Care Institution not Defined Elsewhere,,,,,,,,,,,,
27,Discharged/transferred to a federal health care facility.,,,,,,,,,,,,
28,Discharged/transferred/referred to a psychiatric hospital of psychiatric distinct part unit of a hospital,,,,,,,,,,,,
29,Discharged/transferred to a Critical Access Hospital (CAH).,,,,,,,,,,,,
,,,,,,,,,,,,,
admission_source_id,description,,,,,,,,,,,,
1, Physician Referral,,,,,,,"1,2,3",,,,,
2,Clinic Referral,,,,,,,"4,5,6,10,18,19,22,25",,,,,
3,HMO Referral,,,,,,,7,,,,,
4,Transfer from a hospital,,,,,,,8,,,,,
5, Transfer from a Skilled Nursing Facility (SNF),,,,,,,"11,13,14",,,,,
6, Transfer from another health care facility,,,,,,,12,,,,,
7, Emergency Room,,,,,,,23,,,,,
8, Court/Law Enforcement,,,,,,,24,,,,,
9, Not Available,,,,,,,26,,,,,
10, Transfer from critial access hospital,,,,,,,"9,15,17,20,21",,,,,
11,Normal Delivery,,,,,,,,,,,,
12, Premature Delivery,,,,,,,,,,,,
13, Sick Baby,,,,,,,,,,,,
14, Extramural Birth,,,,,,,,,,,,
15,Not Available,,,,,,,,,,,,
17,NULL,,,,,,,,,,,,
18, Transfer From Another Home Health Agency,,,,,,,,,,,,
19,Readmission to Same Home Health Agency,,,,,,,,,,,,
20, Not Mapped,,,,,,,,,,,,
21,Unknown/Invalid,,,,,,,,,,,,
22, Transfer from hospital inpt/same fac reslt in a sep claim,,,,,,,,,,,,
23, Born inside this hospital,,,,,,,,,,,,
24, Born outside this hospital,,,,,,,,,,,,
25, Transfer from Ambulatory Surgery Center,,,,,,,,,,,,
26,Transfer from Hospice,,,,,,,,,,,,
